sequence	16S_rRNA_Count	metadata_NSTI
1f926dee6544b252d38067cc7753383a	1	0.108912
201b6484b6abe3d4c587464be6cbd574	2	0.22555999999999998
20fb19136419ba2826c941aa152fa0eb	1	0.417221
21a0198d0a83a8f3ec0e401067138940	2	0.095211
22ed70e219c67c2bf4e20e0b144b12bb	1	0.00015
24443b70088636edf08f0c9572d7faf4	1	0.036989999999999995
24523c45ca39b6c81a01ce286c0c092b	1	0.00015
24dfe6a7325e4f2be7dbd522ef613e42	1	0.00015
2514cdaab96a1a42cf15506f2ecf6439	2	0.071283
251eb140eb9387372897c5f7db6f954c	1	0.17152
26133b4163fdcd22d86f4e04e74154f1	1	0.14926099999999998
26b8b1509edf09c438db1634308c3c90	1	0.00015
28560cffcd31045fa07dd88557b43e05	13	0.000101
29a92aecac56c855cbfc0debf9bda0c8	1	0.05416900000000001
2b148d88c49e316f85b6e7863089a886	1	0.00015
2b6445815ec98d21dbe9640083f30d2f	1	0.080969
2ca928ad9749bb9726c35d6528fefec1	1	0.000101
2cec2792e54f61e12e1a0b2507826118	7	0.000101
2de266b1ffa8e9ec6383c98096caf8f0	1	0.000101
2e202c4e4e803dbc6d54c9e3117afedd	1	0.00015
2e55763e77234a7bfc3a311067a0c7e1	6	0.074284
2e68ab0fcb3a1b7ebc2c48f21839ecc2	1	0.036351
2f4c5e75c0e4cdfcbddbe93ef1f410a3	2	0.00015
2fa276cce32e900f0f68d30e460b8f61	1	0.107671
2ff525a1e58c54525e7f2d68a6c0b23e	1	0.017376
30273eb317696f87e7b6fd37ada4bb8f	1	0.23542
30a88dc67e6a522087c3dfc8019550a6	1	0.00015
30ebe1a33c21c25c55e4fdbb5894b832	1	0.034573
30faafef155964edd9db9374f36c45bf	1	0.092422
3125abe90c7ae91aec06eb104d71845f	1	0.00015
31ed03e41d53de58a6348a242165c05b	1	0.00015
3253177a44672689e4e154e842d63e35	1	0.000101
32875774cffdc8c820f91d8e86f9a0e6	1	0.000101
328cf8ca7cded30705336cf036a2df45	1	0.000101
33176e81f3e7ef2b9de1b783ff1ca33c	1	0.13463699999999998
344b020d867e3210563eaf40b0c557ef	1	0.000102
34694b03602115496c5d0bc105f80c0e	1	0.016771
34e40677eda6fb724e9323b0835d5ab0	1	0.038789
3597a2689efaf5525ce460494a8ac383	1	0.12418900000000001
3677e15d86603bf0a6bb50f8b010afe7	1	0.000101
37c7d17f9e371c1e11a0e22b1ce15ab0	1	0.000101
38aff035451e491e5905508b9a173fb6	1	0.000101
393e6e2cbe258ed27a4ca0a2ee0d2cdc	1	0.163323
3982159c2603cacc4bc4893003bda323	4	0.000154
3990ab928ed346f5605d1e5f70923b9b	1	0.017636000000000002
39b5567d2d979a9172c02435a5ede59d	1	0.01736
3a1c2d5547ddb7f76306a042f8bef6a4	1	0.00015
3a69cb2f27ac76a05405efbb5088d249	1	0.000101
